126 6
1 1 1.6996661960420074
1 2 0.7544621642002347
1 3 -1.6995460803865496
1 4 -3.8611754635286473
1 5 0.8134318571276544
1 6 2.0813109809014843
2 1 -2.331176579275461
2 2 1.507023804704995
2 3 0.8621526733689553
2 4 4.16746810035806
2 5 1.3181520060533778
2 6 -4.37545810554996
3 1 1.1193200403474133
3 2 -3.7481652847756406
3 3 1.6293498944404161
3 4 -1.3250777948988428
3 5 2.8542121034356396
3 6 -0.48734401375496483
4 1 -4.441806242676817
4 2 3.447758987187955
4 3 0.6572592846691276
4 4 -0.836682187874218
4 5 0.8898403750136485
4 6 4.192244788871743
5 1 1.3813584532220224
5 2 -1.4539662471269057
5 3 -2.6552405322114194
5 4 1.9603150598915648
5 5 0.14273855025007523
5 6 2.0490933055325127
6 1 4.725142933890142
6 2 0.3196463119871409
6 3 2.158807516140337
6 4 0.5429970241219194
6 5 -5.417616597339812
6 6 -3.1892498910506024
1 7 0.17513117299219494
2 8 0.032387710022253866
3 9 0.10445589398791282
4 10 0.14013492987878629
5 11 0.17878012929451598
6 12 0.2810704477841186
7 7 -2.616943626370386
7 8 -1.3807041161968374
7 9 2.0835188755380494
7 10 1.314708448854862
7 11 2.430825233599399
7 12 -0.6350309738319656
8 7 -1.8640710983980657
8 8 5.271538728783973
8 9 -0.904520550521623
8 10 -4.817525871581753
8 11 0.09582576285416176
8 12 1.2388143340713627
9 7 -1.1225619431862284
9 8 1.0176335622127526
9 9 2.4246533885238324
9 10 2.1627754323873374
9 11 -3.124788457998117
9 12 0.7487777204103531
10 7 -0.8925142527572414
10 8 -2.0414717727963683
10 9 0.42615933636782977
10 10 -0.351541559290045
10 11 -1.173046035900134
10 12 4.64371465487286
11 7 0.1733812045592329
11 8 -0.6024862534851495
11 9 -5.009790614598233
11 10 1.0548517846284873
11 11 5.094318657113298
11 12 -0.15739264906407793
12 7 5.065043095493499
12 8 -1.3894763339601792
12 9 3.171046410444368
12 10 1.373272856936394
12 11 -2.68399078300995
12 12 -3.0872726172714544
7 13 0.08950893311671068
8 14 0.09659746864173942
9 15 0.2060660131348055
10 16 0.2760059716418371
11 17 0.2546733023371375
12 18 0.0610939702767784
7 5 0.28635597417080716
7 6 0.15658256383500171
8 5 0.19056984374849772
8 6 0.17664635133705756
9 5 0.2886644351222428
9 6 0.0028338435839529996
10 5 0.14086348353883793
10 6 0.10252987800203044
11 5 0.011654991773586532
11 6 0.2670471491688274
12 5 0.27639691460597826
12 6 0.1064497039553971
13 13 -0.8973416265506684
13 14 3.8344734833898775
13 15 -1.2163066035536048
13 16 -0.9350098513427335
13 17 2.3465746897168356
13 18 -3.2557076605322184
14 13 2.2553216355616135
14 14 0.3358252522849575
14 15 -0.10111748450651623
14 16 2.209071669911643
14 17 -3.725451267922659
14 18 -0.6162150549951959
15 13 -0.6944165915696809
15 14 -0.6048330692955866
15 15 -3.8931414125294235
15 16 0.8430962602972922
15 17 0.5642273506474239
15 18 7.086430230475308
16 13 1.8519181705232695
16 14 0.7279518159332027
16 15 1.6922154348723921
16 16 -1.5249848903223706
16 17 -2.250864983162648
16 18 0.4516838265641384
17 13 -3.0456126036046847
17 14 0.3189899978348823
17 15 3.789335598710105
17 16 2.2819145692822382
17 17 0.9148309428278113
17 18 -3.440371579872704
18 13 4.024912060972743
18 14 -2.535514877635982
18 15 -0.4541263876305801
18 16 -3.73215141262915
18 17 4.015605983019482
18 18 -1.9255031847818243
13 19 0.24906776394420815
14 20 0.16392266733549574
15 21 0.048803618768588804
16 22 0.12933610643607665
17 23 0.10820650855827667
18 24 0.1033930545672159
13 11 0.28599016528993554
13 12 0.08752636197365704
14 11 0.15095268123989328
14 12 0.01855126733768222
15 11 0.15516886853989714
15 12 0.04715072860266673
16 11 0.013555696311909603
16 12 0.24455133504924578
17 11 0.26254746632229753
17 12 0.19458687385447024
18 11 0.06707382112028212
18 12 0.06660246560146711
19 19 -2.4262201899393463
19 20 1.2921420975401858
19 21 2.370615565878121
19 22 -4.3599926322196465
19 23 4.92130186519293
19 24 -1.2299458296099788
20 19 6.60073616426609
20 20 0.8716301037263053
20 21 -1.8058636946879236
20 22 -2.712477208525847
20 23 -0.74287969893764
20 24 0.32713682541105277
21 19 -1.2208511074403008
21 20 -4.368363255075338
21 21 1.9164556624285223
21 22 1.6161356300578198
21 23 2.6117085773421085
21 24 1.4893321327772058
22 19 -0.8415093246346527
22 20 -0.07299634705593058
22 21 2.5437541183928616
22 22 1.349353057328086
22 23 1.363096482902733
22 24 -2.043408366952841
23 19 -0.9115501671675084
23 20 2.3422778036319714
23 21 -3.844960689111393
23 22 4.129052658661514
23 23 -2.2399533275508765
23 24 0.009810867890387454
24 19 0.6830257675810494
24 20 -0.6203919107908359
24 21 1.0969585668439819
24 22 -1.5550143287492035
24 23 -3.4835875705145547
24 24 3.7369046293669452
19 25 0.02675480426674661
20 26 0.2823484538883119
21 27 0.1176918653251774
22 28 0.08212385189179001
23 29 0.0038072427992149604
24 30 0.2514900239761269
19 17 0.09349551018197566
19 18 0.20855967720250948
20 17 0.23195968293184283
20 18 0.15021475438845577
21 17 0.22316996372010658
21 18 0.1183283973994664
22 17 0.28835262725379673
22 18 0.22186999920420772
23 17 0.04750865696382149
23 18 0.10594228906000906
24 17 0.11512465715504484
24 18 0.26698608325883977
25 25 0.5714588355790373
25 26 -2.1121238210259663
25 27 -0.5264311158325454
25 28 -2.874162712256197
25 29 3.425440241817694
25 30 3.3024138436695463
26 25 0.3930091363435416
26 26 2.3985210292135903
26 27 0.6314702455999545
26 28 -2.264082262496522
26 29 0.61416829975566
26 30 0.6846786336809387
27 25 -1.533485626655927
27 26 2.0417700391576417
27 27 -0.1744274076833189
27 28 3.0507454774185465
27 29 0.35317528329602643
27 30 -4.14125133824422
28 25 3.460386366002942
28 26 -2.710988325945958
28 27 1.2709027069669727
28 28 0.22444484328266243
28 29 -1.5812659408934193
28 30 -2.672848518757196
29 25 -0.9768659557954907
29 26 -4.879666747951857
29 27 4.238517096382119
29 28 2.103886202056875
29 29 -0.5160346526262416
29 30 1.8881998788443433
30 25 0.09375749284028176
30 26 1.202835665486605
30 27 -4.340515718364723
30 28 1.730550947279944
30 29 -1.9838797264777615
30 30 6.926445680384261
25 31 0.1871805141467381
26 32 0.2927925035181971
27 33 0.12724076145779611
28 34 0.015641772299825305
29 35 0.1524777065337325
30 36 0.12150463756833568
25 23 0.04333258953392858
25 24 0.12615734406652174
26 23 0.2812095134333079
26 24 0.28591377399555346
27 23 0.06998312532416935
27 24 0.07088311746950486
28 23 0.0633674978852848
28 24 0.03807546614735595
29 23 0.18548693366796887
29 24 0.28935265379819936
30 23 0.13640274618816164
30 24 0.21013336224206547
31 31 2.7505387476527043
31 32 -1.2446760781147401
31 33 0.5704357479031514
31 34 -4.492269305736179
31 35 0.24931474901305528
31 36 2.0213591745028787
32 31 -2.6566893232716504
32 32 -2.1026940655896365
32 33 2.5402212604545085
32 34 3.735559999401351
32 35 4.198111674144418
32 36 -2.844595899101743
33 31 -1.6893296916991403
33 32 1.1151606582309834
33 33 -2.6777413996979753
33 34 -3.5942189859853975
33 35 3.5381532664029978
33 36 3.3890242416782357
34 31 3.2394011991635985
34 32 1.8848573475849604
34 33 -0.6179905139792861
34 34 1.7093867884585985
34 35 -2.0159622513082334
34 36 -1.9799130807101089
35 31 -1.2282330278018774
35 32 4.04787231188863
35 33 2.058727295813609
35 34 2.361330919178251
35 35 -1.1958700405862135
35 36 -2.2739605078710583
36 31 -2.150462032240784
36 32 -4.081446011496012
36 33 -0.04580388466922019
36 34 2.342471914439812
36 35 -1.715268231178188
36 36 3.046517128020077
31 37 0.2903842402891395
32 38 0.24302236339755873
33 39 0.008708534244868305
34 40 0.15274875963912787
35 41 0.2229806767542777
36 42 0.2536946164260146
31 29 0.16050294033869517
31 30 0.16490284027218974
32 29 0.01946121365622877
32 30 0.1444448891901215
33 29 0.23827044327713773
33 30 0.10453312987639186
34 29 0.04046952078822068
34 30 0.15243881101534446
35 29 0.28329866170444584
35 30 0.052667474514170864
36 29 0.04572996346921749
36 30 0.2904278647725523
37 37 -0.21047838606249553
37 38 3.793332331030623
37 39 -2.9815299397167347
37 40 3.6459863593360056
37 41 -0.17528631125634342
37 42 -2.50417556041234
38 37 3.003327248426482
38 38 0.38481165431923847
38 39 -0.9010726508981429
38 40 -0.9297708127709762
38 41 1.3423509402558782
38 42 -2.957306471984334
39 37 0.9027453630444157
39 38 -2.600356662915023
39 39 5.810581955522682
39 40 1.4739455096968077
39 41 -5.018675751393263
39 42 -0.17534575022191046
40 37 -3.5610800766512245
40 38 1.1300623343686182
40 39 -0.6046734117713272
40 40 -0.4740151468272111
40 41 4.466838205877771
40 42 -0.1615235160520271
41 37 -1.7250930307503676
41 38 2.5338783462117704
41 39 0.8685812481180988
41 40 -0.19057698718077012
41 41 -2.441860505963478
41 42 4.1700592994739365
42 37 3.902759172599249
42 38 -3.972553060685792
42 39 -1.8068350106196798
42 40 -0.2449932430093749
42 41 1.4014716029782903
42 42 0.8897768640782487
37 43 0.2571121730282818
38 44 0.1472406153153499
39 45 0.29610405762164355
40 46 0.08534481344478229
41 47 0.25435103342473103
42 48 0.088282406498928
37 35 0.2191040515642452
37 36 0.04355999319329013
38 35 0.2803471103513532
38 36 0.05066327483225319
39 35 0.10780590954781455
39 36 0.0946753767001023
40 35 0.2048394961437926
40 36 0.2670505947406569
41 35 0.13003007066633318
41 36 0.08886733659308411
42 35 0.1768134082027827
42 36 0.11247292234414653
43 43 -1.0687987399715912
43 44 1.4597397497283593
43 45 1.8593643510300828
43 46 1.676059411023838
43 47 -4.445170926114443
43 48 1.124015871182802
44 43 -0.289773821401619
44 44 -2.52748165809037
44 45 -1.109695917998636
44 46 4.229342124910831
44 47 1.6513593126822828
44 48 -2.0403442822455355
45 43 -3.3082934822352534
45 44 -1.410279587542193
45 45 2.9603988256391744
45 46 0.24148520352876698
45 47 1.221413462704306
45 48 2.9735497926547687
46 43 4.682828476358707
46 44 1.4026689550494953
46 45 0.22967777152643878
46 46 -5.739583825481887
46 47 2.393259608535668
46 48 -1.654531920116011
47 43 -2.729731982117168
47 44 3.2372026573024715
